開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,BONUS数字,セット
1,1999/4/13,1,3,17,20,25,26,A
2,1999/4/27,2,11,12,21,30,28,B
3,1999/5/11,1,8,10,24,30,28,E
4,1999/5/25,11,12,14,20,31,29,C
5,1999/6/8,8,9,15,21,25,23,D
6,1999/6/22,2,11,16,24,29,4,I
7,1999/7/6,3,24,25,26,31,2,F
8,1999/7/20,22,24,25,28,30,21,G
9,1999/8/3,2,11,12,13,28,15,J
10,1999/8/17,8,19,21,23,30,5,H
11,1999/8/31,17,18,19,20,30,31,F
12,1999/9/14,5,9,13,16,19,21,A
13,1999/9/28,6,11,18,25,28,20,J
14,1999/10/5,2,21,24,26,29,28,E
15,1999/10/12,6,8,17,23,24,22,B
16,1999/10/19,2,20,24,26,27,23,D
17,1999/10/26,10,18,20,25,27,1,C
18,1999/11/2,1,14,16,23,25,27,I
19,1999/11/9,2,9,10,22,27,1,G
20,1999/11/16,14,20,22,25,30,15,H
21,1999/11/23,3,15,22,25,31,6,A
22,1999/11/30,4,6,26,28,30,14,D
23,1999/12/7,2,13,18,22,26,15,B
24,1999/12/14,12,14,19,26,28,15,J
25,1999/12/21,2,3,7,18,29,15,F
26,1999/12/28,7,8,9,14,15,4,C
27,2000/1/4,10,16,20,21,31,14,H
28,2000/1/11,2,9,15,22,29,11,I
29,2000/1/18,9,12,17,26,31,15,E
30,2000/1/25,10,15,17,18,30,16,G
31,2000/2/1,14,20,21,24,28,17,A
32,2000/2/8,2,11,13,16,24,20,J
33,2000/2/15,2,3,8,9,30,23,B
34,2000/2/22,4,9,18,28,29,12,C
35,2000/2/29,10,11,18,24,26,29,F
36,2000/3/7,4,8,15,16,21,25,D
37,2000/3/14,6,7,10,16,31,20,E
38,2000/3/21,11,16,17,19,31,4,A
39,2000/3/28,1,9,15,26,30,11,H
40,2000/4/4,4,16,24,25,27,5,I
41,2000/4/11,10,16,19,22,26,29,A
42,2000/4/18,2,5,19,24,31,28,G
43,2000/4/25,3,6,11,16,30,5,H
44,2000/5/2,5,18,20,25,27,11,B
45,2000/5/9,7,13,19,24,26,11,E
46,2000/5/16,2,10,22,23,26,6,C
47,2000/5/23,2,6,8,17,29,10,F
48,2000/5/30,2,9,11,13,31,18,D
49,2000/6/6,10,13,14,23,25,12,B
50,2000/6/13,4,5,6,8,10,26,H
51,2000/6/20,5,7,15,16,31,2,A
52,2000/6/27,4,10,12,26,31,20,D
53,2000/7/4,4,13,14,15,17,30,E
54,2000/7/11,4,5,15,18,21,16,C
55,2000/7/18,4,10,11,18,31,3,F
56,2000/7/25,1,3,7,10,27,16,I
57,2000/8/1,3,21,23,27,29,13,B
58,2000/8/8,1,2,4,10,24,20,D
59,2000/8/15,9,15,20,21,22,10,I
60,2000/8/22,16,17,22,23,26,30,E
61,2000/8/29,9,23,24,29,30,5,B
62,2000/9/5,5,10,13,17,29,6,H
63,2000/9/12,3,5,6,22,28,1,C
64,2000/9/19,5,10,11,12,23,15,D
65,2000/9/26,8,9,10,17,23,15,F
66,2000/10/3,5,6,12,17,20,1,E
67,2000/10/10,4,5,8,14,27,6,J
68,2000/10/17,5,6,21,22,24,11,E
69,2000/10/24,5,6,9,23,30,2,J
70,2000/10/31,1,5,7,17,21,15,F
71,2000/11/7,11,17,18,22,30,2,B
72,2000/11/14,8,10,24,28,30,12,C
73,2000/11/21,4,6,8,26,30,7,D
74,2000/11/28,4,6,16,22,28,9,A
75,2000/12/5,7,14,16,17,29,1,H
76,2000/12/12,6,11,13,16,23,3,E
77,2000/12/19,2,3,10,22,26,23,I
78,2000/12/26,4,11,19,20,22,28,D
79,2001/1/9,2,13,16,26,30,11,A
80,2001/1/16,7,10,13,18,22,4,G
81,2001/1/23,1,7,10,16,25,18,C
82,2001/1/30,1,3,11,27,30,8,I
83,2001/2/6,1,6,11,23,26,3,E
84,2001/2/13,1,15,29,30,31,16,F
85,2001/2/20,9,11,14,20,29,2,J
86,2001/2/27,2,8,13,20,24,9,B
87,2001/3/6,1,5,12,23,27,14,H
88,2001/3/13,4,19,26,27,30,3,I
89,2001/3/20,5,7,24,27,29,14,D
90,2001/3/27,6,12,14,21,27,15,H
91,2001/4/3,8,9,15,18,22,3,C
92,2001/4/10,2,3,11,22,30,31,J
93,2001/4/17,11,15,22,26,27,8,F
94,2001/4/24,16,19,20,26,29,27,A
95,2001/5/1,4,5,7,8,31,26,C
96,2001/5/8,1,5,6,14,27,17,E
97,2001/5/15,6,12,15,19,22,3,A
98,2001/5/22,1,2,9,11,20,4,G
99,2001/5/29,3,7,10,13,15,26,I
100,2001/6/5,11,12,19,20,31,3,H
101,2001/6/12,2,10,11,13,26,22,D
102,2001/6/19,5,10,11,25,28,23,A
103,2001/6/26,10,13,19,21,30,14,F
104,2001/7/3,3,4,7,21,30,31,I
105,2001/7/10,6,11,14,21,27,20,E
106,2001/7/17,3,5,11,12,18,2,B
107,2001/7/24,4,8,12,26,27,18,H
108,2001/7/31,6,10,20,27,29,19,J
109,2001/8/7,3,5,15,19,22,25,G
110,2001/8/14,3,7,13,22,27,2,A
111,2001/8/21,10,19,24,27,31,6,I
112,2001/8/28,5,7,15,26,27,1,A
113,2001/9/4,1,2,6,16,28,4,D
114,2001/9/11,3,5,6,7,11,8,J
115,2001/9/18,10,15,29,30,31,16,I
116,2001/9/25,2,7,13,18,23,11,F
117,2001/10/2,5,11,12,23,24,3,A
118,2001/10/9,2,4,12,20,23,14,E
119,2001/10/16,12,14,25,29,30,5,A
120,2001/10/23,8,12,14,18,27,24,H
121,2001/10/30,5,17,18,24,30,20,A
122,2001/11/6,1,8,23,27,28,9,B
123,2001/11/13,1,5,6,13,15,21,F
124,2001/11/20,5,7,17,19,27,9,D
125,2001/11/27,2,21,22,27,29,24,H
126,2001/12/4,7,16,18,22,25,21,A
127,2001/12/11,8,9,18,29,31,24,F
128,2001/12/18,3,6,22,24,27,26,A
129,2001/12/25,2,13,20,25,30,12,B
130,2002/1/8,3,4,11,17,26,5,H
131,2002/1/15,1,9,12,18,21,15,D
132,2002/1/22,7,13,17,19,24,18,G
133,2002/1/29,4,7,11,18,31,27,D
134,2002/2/5,4,5,13,16,18,20,A
135,2002/2/12,4,7,8,9,24,20,F
136,2002/2/19,5,11,14,18,28,8,J
137,2002/2/26,3,15,20,25,28,30,B
138,2002/3/5,1,4,21,30,31,16,I
139,2002/3/12,14,17,20,26,28,23,G
140,2002/3/19,8,9,17,20,29,6,J
141,2002/3/26,4,6,9,20,24,16,A
142,2002/4/2,10,11,24,25,30,8,J
143,2002/4/9,17,18,20,23,26,6,B
144,2002/4/16,4,13,14,19,28,5,H
145,2002/4/23,13,14,19,24,28,3,E
146,2002/4/30,1,6,11,12,18,8,G
147,2002/5/7,5,10,21,27,28,2,F
148,2002/5/14,2,7,19,26,31,24,A
149,2002/5/21,5,6,17,27,28,20,G
150,2002/5/28,2,11,16,24,26,4,D
151,2002/6/4,4,10,13,14,19,12,I
152,2002/6/11,1,2,11,22,30,27,H
153,2002/6/18,2,3,8,23,29,6,F
154,2002/6/25,2,10,16,19,22,17,B
155,2002/7/2,9,10,16,21,23,4,I
156,2002/7/9,2,3,13,19,31,15,G
157,2002/7/16,1,5,14,18,20,6,J
158,2002/7/23,3,14,16,20,31,25,F
159,2002/7/30,7,11,16,23,24,13,A
160,2002/8/6,4,23,24,30,31,27,A
161,2002/8/13,2,3,4,17,19,8,I
162,2002/8/20,6,14,17,23,31,20,B
163,2002/8/27,1,12,13,16,28,31,A
164,2002/9/3,7,9,16,26,30,28,J
165,2002/9/10,9,16,24,25,26,20,F
166,2002/9/17,8,13,21,24,28,16,E
167,2002/9/24,11,19,20,25,26,23,C
168,2002/10/1,2,8,11,16,30,17,B
169,2002/10/8,8,15,18,25,31,13,I
170,2002/10/15,2,7,14,20,22,5,F
171,2002/10/22,2,6,9,12,31,17,H
172,2002/10/29,1,4,14,21,28,3,D
173,2002/11/5,11,18,20,22,29,10,A
174,2002/11/12,1,3,8,21,22,2,F
175,2002/11/19,8,12,17,19,24,5,J
176,2002/11/26,12,14,24,26,30,18,C
177,2002/12/3,7,13,17,21,30,20,C
178,2002/12/10,3,24,26,28,31,20,B
179,2002/12/17,1,7,26,30,31,12,G
180,2002/12/24,17,18,19,21,28,22,I
181,2003/1/7,1,3,14,16,26,12,H
182,2003/1/14,2,10,14,23,24,6,A
183,2003/1/21,3,9,13,25,26,7,F
184,2003/1/28,2,10,23,30,31,16,E
185,2003/2/4,7,19,20,25,28,2,D
186,2003/2/11,8,12,20,21,25,22,F
187,2003/2/18,4,6,17,24,25,1,J
188,2003/2/25,7,16,24,25,28,30,D
189,2003/3/4,9,16,22,25,26,3,H
190,2003/3/11,4,5,21,27,29,2,F
191,2003/3/18,1,6,8,12,13,2,C
192,2003/3/25,6,7,10,11,17,3,G
193,2003/4/1,6,8,18,20,22,11,B
194,2003/4/8,3,6,15,17,23,1,F
195,2003/4/15,1,2,6,15,23,21,A
196,2003/4/22,2,4,14,21,22,16,E
197,2003/4/29,8,18,20,21,31,1,J
198,2003/5/6,13,20,21,25,28,14,F
199,2003/5/13,1,9,21,26,29,25,I
200,2003/5/20,1,4,12,13,18,25,C
201,2003/5/27,3,5,23,25,26,17,D
202,2003/6/3,6,10,11,18,31,25,A
203,2003/6/10,4,10,18,22,25,20,H
204,2003/6/17,7,18,22,24,29,9,G
205,2003/6/24,3,4,13,14,23,12,B
206,2003/7/1,6,8,12,27,31,24,E
207,2003/7/8,3,4,10,16,25,7,I
208,2003/7/15,6,10,13,16,17,29,J
209,2003/7/22,7,17,23,27,29,12,C
210,2003/7/29,9,10,18,19,29,21,G
211,2003/8/5,9,10,13,18,22,15,D
212,2003/8/12,1,5,10,14,30,26,F
213,2003/8/19,1,2,3,9,29,27,H
214,2003/8/26,2,8,16,18,28,12,A
215,2003/9/2,4,15,20,21,28,16,I
216,2003/9/9,3,7,13,16,17,2,B
217,2003/9/16,2,8,17,19,23,21,E
218,2003/9/23,9,16,24,25,29,23,H
219,2003/9/30,1,15,17,21,28,6,F
220,2003/10/7,9,10,11,21,29,5,J
221,2003/10/14,4,8,14,22,26,9,C
222,2003/10/21,10,18,21,26,28,9,A
223,2003/10/28,4,10,16,19,22,21,G
224,2003/11/4,12,16,27,30,31,14,J
225,2003/11/11,13,14,18,24,26,16,D
226,2003/11/18,4,12,14,26,30,28,I
227,2003/11/25,2,4,7,21,30,20,B
228,2003/12/2,10,17,21,24,27,2,F
229,2003/12/9,12,19,23,24,30,6,E
230,2003/12/16,4,16,17,25,26,19,J
231,2003/12/23,3,4,10,11,24,28,D
232,2003/12/30,3,12,20,24,26,31,A
233,2004/1/6,8,14,19,21,29,25,H
234,2004/1/13,16,18,22,23,26,2,C
235,2004/1/20,5,6,16,17,31,8,F
236,2004/1/27,14,17,23,24,29,3,B
237,2004/2/3,6,8,17,18,28,20,G
238,2004/2/10,13,15,17,22,25,26,D
239,2004/2/17,16,18,21,23,27,31,I
240,2004/2/24,2,6,14,28,29,11,A
241,2004/3/2,1,2,4,13,26,7,C
242,2004/3/9,5,12,23,27,31,14,E
243,2004/3/16,4,11,15,27,28,1,J
244,2004/3/23,6,11,21,22,25,15,F
245,2004/3/30,1,10,14,21,28,23,B
246,2004/4/6,1,12,15,20,23,4,A
247,2004/4/13,7,11,19,27,31,2,J
248,2004/4/20,4,13,16,24,29,12,B
249,2004/4/27,9,11,12,18,20,7,G
250,2004/5/4,1,3,11,12,31,22,I
251,2004/5/11,1,3,19,20,23,28,H
252,2004/5/18,12,18,24,27,31,22,I
253,2004/5/25,1,3,10,21,25,29,E
254,2004/6/1,3,7,22,25,29,27,D
255,2004/6/8,12,17,20,27,29,18,A
256,2004/6/15,5,9,15,16,27,28,F
257,2004/6/22,2,9,12,20,31,10,C
258,2004/6/29,4,6,9,19,22,5,G
259,2004/7/6,5,7,11,12,23,17,I
260,2004/7/13,6,7,17,19,23,28,J
261,2004/7/20,2,3,5,14,29,18,D
262,2004/7/27,5,19,23,27,28,2,F
263,2004/8/3,15,25,28,30,31,2,A
264,2004/8/10,2,4,7,25,30,15,E
265,2004/8/17,1,3,24,26,28,21,J
266,2004/8/24,3,8,25,28,31,6,D
267,2004/8/31,8,14,15,19,25,31,H
268,2004/9/7,17,18,20,27,31,13,F
269,2004/9/14,3,7,20,23,29,16,C
270,2004/9/21,9,10,11,14,19,21,B
271,2004/9/28,6,13,15,24,31,20,J
272,2004/10/5,4,16,21,28,29,9,A
273,2004/10/12,3,5,7,11,17,23,E
274,2004/10/19,7,8,9,16,25,12,D
275,2004/10/26,11,16,17,21,22,19,G
276,2004/11/2,12,16,19,20,23,11,B
277,2004/11/9,4,14,16,19,22,10,C
278,2004/11/16,8,12,13,14,24,16,C
279,2004/11/23,2,7,19,23,25,11,I
280,2004/11/30,4,9,13,15,19,12,H
281,2004/12/7,5,7,11,13,21,27,J
282,2004/12/14,1,2,18,27,29,13,I
283,2004/12/21,11,15,19,20,29,1,F
284,2004/12/28,1,5,8,11,18,30,A
285,2005/1/4,8,17,19,24,26,16,B
286,2005/1/11,14,15,20,22,30,2,D
287,2005/1/18,2,7,14,19,21,1,E
288,2005/1/25,6,16,21,29,31,18,G
289,2005/2/1,5,6,11,24,28,18,G
290,2005/2/8,3,8,11,23,30,5,I
291,2005/2/15,4,8,21,23,26,22,H
292,2005/2/22,2,7,13,25,31,17,J
293,2005/3/1,14,15,16,24,25,12,A
294,2005/3/8,14,23,26,29,31,28,B
295,2005/3/15,8,14,16,17,26,5,E
296,2005/3/22,8,14,18,24,29,19,C
297,2005/3/29,5,9,18,25,30,31,D
298,2005/4/5,8,10,12,15,22,16,F
299,2005/4/12,2,9,15,26,31,11,G
300,2005/4/19,10,13,16,22,28,7,I
301,2005/4/26,5,11,16,26,31,12,A
302,2005/5/3,6,7,9,14,20,22,B
303,2005/5/10,13,14,16,19,25,1,J
304,2005/5/17,3,10,11,14,20,17,H
305,2005/5/24,10,11,13,16,24,22,C
306,2005/5/31,17,20,23,24,31,11,E
307,2005/6/7,2,10,15,21,28,12,F
308,2005/6/14,1,13,17,22,27,16,G
309,2005/6/21,8,14,17,22,23,1,I
310,2005/6/28,6,14,17,24,25,11,A
311,2005/7/5,2,17,19,28,29,10,F
312,2005/7/12,7,12,17,18,21,11,H
313,2005/7/19,1,7,26,27,31,30,D
314,2005/7/26,2,7,16,18,20,28,J
315,2005/8/2,7,11,15,28,31,14,B
316,2005/8/9,24,25,28,29,30,27,G
317,2005/8/16,8,10,11,22,23,12,E
318,2005/8/23,9,18,19,30,31,16,I
319,2005/8/30,3,20,21,22,27,9,C
320,2005/9/6,6,7,13,28,30,12,A
321,2005/9/13,2,11,18,21,27,15,B
322,2005/9/20,5,8,10,28,31,2,F
323,2005/9/27,5,15,19,22,27,29,J
324,2005/10/4,5,6,13,29,30,17,D
325,2005/10/11,8,11,13,15,28,22,A
326,2005/10/18,1,3,6,11,25,12,H
327,2005/10/25,8,14,19,25,28,16,A
328,2005/11/1,1,2,11,12,18,8,G
329,2005/11/8,5,14,15,17,29,10,E
330,2005/11/15,3,13,15,19,24,8,B
331,2005/11/22,6,19,21,29,30,24,C
332,2005/11/29,4,9,24,28,29,25,I
333,2005/12/6,19,21,22,26,28,24,A
334,2005/12/13,7,12,22,23,25,13,A
335,2005/12/20,14,16,23,25,31,22,F
336,2005/12/27,10,14,20,27,28,8,D
337,2006/1/10,4,7,21,22,23,15,J
338,2006/1/17,1,3,19,21,27,9,C
339,2006/1/24,4,9,11,15,23,26,H
340,2006/1/31,10,14,18,23,25,31,G
341,2006/2/7,2,5,17,18,26,3,E
342,2006/2/14,2,15,24,25,27,9,B
343,2006/2/21,6,10,15,27,30,8,I
344,2006/2/28,4,9,13,21,23,31,E
345,2006/3/7,7,14,16,17,29,18,F
346,2006/3/14,4,14,18,26,31,3,A
347,2006/3/21,10,11,20,23,27,13,C
348,2006/3/28,8,9,11,12,18,23,H
349,2006/4/4,3,5,6,7,12,18,J
350,2006/4/11,3,9,22,24,28,27,D
351,2006/4/18,3,6,11,12,27,26,F
352,2006/4/25,5,7,14,17,30,29,G
353,2006/5/2,3,13,14,17,25,18,I
354,2006/5/9,3,6,17,19,30,1,J
355,2006/5/16,8,9,24,27,29,31,J
356,2006/5/23,6,11,17,19,22,21,A
357,2006/5/30,15,24,26,28,29,16,E
358,2006/6/6,4,13,18,27,31,23,G
359,2006/6/13,3,11,15,18,19,22,B
360,2006/6/20,6,11,20,27,28,5,E
361,2006/6/27,2,4,6,12,30,5,A
362,2006/7/4,4,17,19,20,31,7,H
363,2006/7/11,4,10,12,17,22,16,C
364,2006/7/18,5,9,13,20,23,18,F
365,2006/7/25,6,10,18,27,28,14,G
366,2006/8/1,2,11,14,19,30,3,B
367,2006/8/8,4,6,14,19,31,9,I
368,2006/8/15,1,8,17,28,29,6,E
369,2006/8/22,4,10,23,29,30,31,F
370,2006/8/29,10,12,16,26,28,21,J
371,2006/9/5,10,12,19,23,31,27,J
372,2006/9/12,1,5,22,25,30,12,C
373,2006/9/19,3,5,11,12,29,22,B
374,2006/9/26,9,17,27,28,29,8,I
375,2006/10/3,1,10,20,23,24,16,G
376,2006/10/10,7,13,21,25,28,2,C
377,2006/10/17,1,12,20,21,30,6,E
378,2006/10/24,6,8,15,21,24,5,I
379,2006/10/31,2,8,15,19,28,26,D
380,2006/11/7,2,11,12,17,31,15,A
381,2006/11/14,3,9,19,22,23,21,H
382,2006/11/21,7,9,11,14,23,19,J
383,2006/11/28,4,7,9,17,31,12,B
384,2006/12/5,4,9,15,25,29,5,F
385,2006/12/12,6,14,20,24,27,3,G
386,2006/12/19,1,3,5,7,23,14,C
387,2006/12/26,16,26,28,29,30,11,E
388,2007/1/9,4,8,19,27,31,11,I
389,2007/1/16,8,11,13,27,30,6,B
390,2007/1/23,11,14,23,29,30,20,D
391,2007/1/30,1,10,15,30,31,21,F
392,2007/2/6,3,13,15,25,30,26,H
393,2007/2/13,15,17,18,22,30,11,J
394,2007/2/20,2,5,21,27,31,25,A
395,2007/2/27,6,21,22,23,31,3,D
396,2007/3/6,1,6,21,25,28,22,G
397,2007/3/13,1,14,17,24,25,29,B
398,2007/3/20,10,17,25,27,31,26,C
399,2007/3/27,7,13,23,27,31,8,A
400,2007/4/3,12,20,22,24,25,26,E
401,2007/4/10,11,13,18,26,30,6,A
402,2007/4/17,10,20,22,24,27,8,F
403,2007/4/24,2,5,16,30,31,18,H
404,2007/5/1,1,8,11,26,28,24,I
405,2007/5/8,8,9,13,27,31,17,C
406,2007/5/15,5,13,19,28,29,1,B
407,2007/5/22,5,15,21,22,31,10,E
408,2007/5/29,7,12,22,26,30,4,J
409,2007/6/5,2,11,19,27,28,5,G
410,2007/6/12,3,10,19,20,31,15,D
411,2007/6/19,5,8,12,19,22,11,B
412,2007/6/26,1,5,6,9,23,16,I
413,2007/7/3,8,14,21,23,29,17,F
414,2007/7/10,5,7,10,20,27,21,D
415,2007/7/17,11,16,24,28,30,22,H
416,2007/7/24,4,6,13,15,22,7,I
417,2007/7/31,3,9,12,23,24,22,J
418,2007/8/7,13,16,22,27,30,4,G
419,2007/8/14,5,12,19,20,27,28,C
420,2007/8/21,2,10,13,23,27,18,E
421,2007/8/28,11,14,24,28,29,16,A
422,2007/9/4,10,12,15,21,27,24,F
423,2007/9/11,8,14,16,24,31,7,B
424,2007/9/18,3,4,8,11,31,24,D
425,2007/9/25,4,10,20,25,28,6,H
426,2007/10/2,3,15,17,21,26,29,I
427,2007/10/9,9,14,19,20,26,16,J
428,2007/10/16,11,20,24,27,29,21,E
429,2007/10/23,11,18,22,26,30,20,C
430,2007/10/30,3,7,16,18,21,27,A
431,2007/11/6,3,12,14,24,25,2,G
432,2007/11/13,3,9,14,22,25,12,D
433,2007/11/20,1,12,17,20,27,14,H
434,2007/11/27,1,6,10,11,22,18,I
435,2007/12/4,8,19,22,25,27,6,B
436,2007/12/11,7,8,18,21,24,17,F
437,2007/12/18,9,13,15,28,31,12,E
438,2007/12/25,1,2,10,13,21,16,J
439,2008/1/8,10,17,19,21,23,16,C
440,2008/1/15,5,12,13,21,30,28,B
441,2008/1/22,6,8,19,28,30,17,G
442,2008/1/29,5,8,19,24,30,17,D
443,2008/2/5,5,17,22,23,30,20,A
444,2008/2/12,1,11,17,30,31,13,H
445,2008/2/19,7,16,18,26,31,25,E
446,2008/2/26,10,11,15,16,17,4,A
447,2008/3/4,14,17,20,25,26,8,I
448,2008/3/11,1,7,12,17,18,25,J
449,2008/3/18,7,8,10,11,20,12,F
450,2008/3/25,2,5,8,13,27,26,C
451,2008/4/1,3,7,12,14,16,31,G
452,2008/4/8,2,12,16,18,30,20,B
453,2008/4/15,4,7,12,17,27,24,D
454,2008/4/22,2,5,13,20,24,12,E
455,2008/4/29,1,10,16,24,26,9,E
456,2008/5/6,6,8,10,16,20,2,J
457,2008/5/13,2,16,17,22,28,11,H
458,2008/5/20,6,8,15,24,31,1,C
459,2008/5/27,12,13,26,27,29,2,A
460,2008/6/3,10,11,25,27,30,4,I
461,2008/6/10,6,12,17,20,26,11,F
462,2008/6/17,4,19,22,25,29,27,H
463,2008/6/24,12,13,16,21,23,18,E
464,2008/7/1,1,12,16,22,28,15,B
465,2008/7/8,13,18,21,25,28,7,G
466,2008/7/15,15,16,19,20,29,17,E
467,2008/7/22,1,2,13,15,23,26,A
468,2008/7/29,7,8,13,24,27,10,J
469,2008/8/5,5,9,12,16,19,3,C
470,2008/8/12,11,15,22,30,31,14,I
